Package Name,Dependencies,Optional Dependencies,Needed By,Config File Path
filesystem,iana-etc,None,base  fakeroot  glibc  mkinitcpio,/etc/filesystem.conf
findutils,glibc  sh,None,base  base-devel  ca-certificates-utils  java-runtime-common  mkinitcpio,/etc/findutils.conf
firefox,dbus-glib  ffmpeg  gtk3  libpulse  libxss  libxt  mime-types  nss  ttf-font,hunspell-en_US,None,/etc/firefox.conf
flac,gcc-libs  libogg,None,chromium  electron22  gst-plugins-good  libopenmpt  libsndfile,/etc/flac.conf
flex,glibc  m4  sh,None,base-devel,/etc/flex.conf
fontconfig,expat  freetype2  libexpat.so=1-64  libfreetype.so=6-64,None,alacritty  cairo  chromium  dropbox  electron22  ffmpeg  gd  ghostscript  gtk3  imagemagick  libass  libbluray  libxft  poppler  qt5-base,/etc/fontconfig.conf
freeglut,libxi  libxrandr  libgl,None,libcaca,/etc/freeglut.conf
freetype2,brotli  bzip2  libpng  sh  zlib  harfbuzz,None,alacritty  cairo  chromium  electron22  ffmpeg  fontconfig  harfbuzz  imlib2  jre-openjdk-headless  libass  libbluray  libraqm  librsvg  libxfont2  poppler  poppler-glib  texlive-bin  xorg-mkfontscale,/etc/freetype2.conf
fribidi,glibc,None,ffmpeg  gtk3  libass  libraqm  pango  vte3,/etc/fribidi.conf
fuse-common,None,None,fuse3,/etc/fuse-common.conf
fuse3,fuse-common  glibc,None,gvfs  libvirt,/etc/fuse3.conf
garcon,libxfce4ui,None,xfce4-appfinder  xfce4-panel  xfce4-screensaver  xfce4-settings  xfce4-whiskermenu-plugin  xfdesktop,/etc/garcon.conf
gawk,sh  glibc  mpfr,None,autoconf  base  base-devel  mkinitcpio  pacman,/etc/gawk.conf
gc,gcc-libs,None,guile  w3m,/etc/gc.conf
gcc,gcc-libs=13.2.1-3  binutils>=2.28  libmpc  zstd  libisl.so=23-64,lib32-gcc-libs,base-devel,/etc/gcc.conf
gcc-libs,glibc>=2.27,None,abseil-cpp  aom  base  blas  db  db5.3  djvulibre  double-conversion  ell  fftw  flac  gc  gcc  gettext  glu  gmp  gnutls  gperftools  gptfdisk  graphite  groff  highway  hunspell  icu  imath  intel-gmmlib  intel-media-driver  iwd  jack2  jre-openjdk  jre-openjdk-headless  jsoncpp  libblockdev  libbs2b  libcaca  libcap  libcdio  libconfig  libde265  libelf  libinih  libmfx  libmodplug  libnl  libopenmpt  libosinfo  libplist  libsigc++  libsoxr  libusbmuxd  libvpx  libyuv  llvm-libs  lsd  luajit  ncurses  openmpi  pcre  poppler  poppler-glib  portaudio  rav1e  re2  ripgrep  smartmontools  snappy  speex  speexdsp  srt  systemd-libs  taglib  thin-provisioning-tools  tree-sitter  udisks2  v4l-utils  vid.stab  visual-studio-code-bin  vmaf  webrtc-audio-processing  x265  zeromq  zimg  zstd,/etc/gcc-libs.conf
gcr,gtk3  libgcrypt  libsecret  openssh  p11-kit,None,gnome-keyring  gvfs  seahorse,/etc/gcr.conf
gcr-4,glib2  libgcrypt  libsecret  openssh  p11-kit  systemd,gtk4,gnome-keyring  libnma-common,/etc/gcr-4.conf
gd,fontconfig  libxpm  libwebp  libavif  libheif,perl,texlive-bin,/etc/gd.conf
gdbm,glibc  sh  readline  libreadline.so=8-64,None,avahi  libsasl  man-db  perl  python,/etc/gdbm.conf
gdk-pixbuf2,glib2  libpng  libtiff  libjpeg  shared-mime-info,libwmf,awesome  ghostscript  gst-plugins-good  gtk-update-icon-cache  gtk3  libnotify  librsvg  spice-gtk  tumbler  xscreensaver,/etc/gdk-pixbuf2.conf
gettext,gcc-libs  acl  sh  libunistring  libxml2,git,base  base-devel  bison  grub  pacman,/etc/gettext.conf
ghc-libs,gmp  libffi  numactl  perl,None,haskell-aeson  haskell-aeson-pretty  haskell-ansi-terminal  haskell-ansi-wl-pprint  haskell-appar  haskell-asn1-encoding  haskell-asn1-parse  haskell-asn1-types  haskell-assoc  haskell-async  haskell-attoparsec  haskell-attoparsec-iso8601  haskell-auto-update  haskell-base-compat  haskell-base-compat-batteries  haskell-base-orphans  haskell-base-unicode-symbols  haskell-base16-bytestring  haskell-base64  haskell-base64-bytestring  haskell-basement  haskell-bifunctors  haskell-bitvec  haskell-blaze-builder  haskell-blaze-html  haskell-blaze-markup  haskell-boring  haskell-bsb-http-chunked  haskell-byteorder  haskell-call-stack  haskell-case-insensitive  haskell-cereal  haskell-citeproc  haskell-cmdargs  haskell-colour  haskell-commonmark  haskell-commonmark-extensions  haskell-commonmark-pandoc  haskell-comonad  haskell-conduit  haskell-conduit-extra  haskell-constraints  haskell-contravariant  haskell-cookie  haskell-crypton  haskell-crypton-connection  haskell-crypton-x509  haskell-crypton-x509-store  haskell-crypton-x509-system  haskell-crypton-x509-validation  haskell-cryptonite  haskell-data-array-byte  haskell-data-default  haskell-data-default-class  haskell-data-default-instances-containers  haskell-data-default-instances-dlist  haskell-data-default-instances-old-locale  haskell-data-fix  haskell-dec  haskell-digest  haskell-distributive  haskell-dlist  haskell-doclayout  haskell-doctemplates  haskell-easy-file  haskell-emojis  haskell-erf  haskell-fast-logger  haskell-file-embed  haskell-generically  haskell-ghc-bignum-orphans  haskell-glob  haskell-gridtables  haskell-haddock-library  haskell-hashable  haskell-hourglass  haskell-hslua  haskell-hslua-aeson  haskell-hslua-classes  haskell-hslua-core  haskell-hslua-list  haskell-hslua-marshalling  haskell-hslua-module-doclayout  haskell-hslua-module-path  haskell-hslua-module-system  haskell-hslua-module-text  haskell-hslua-module-version  haskell-hslua-module-zip  haskell-hslua-objectorientation  haskell-hslua-packaging  haskell-hslua-repl  haskell-hslua-typing  haskell-http-api-data  haskell-http-client  haskell-http-client-tls  haskell-http-date  haskell-http-media  haskell-http-types  haskell-http2  haskell-hunit  haskell-indexed-traversable  haskell-indexed-traversable-instances  haskell-integer-logarithms  haskell-iproute  haskell-ipynb  haskell-isocline  haskell-jira-wiki-markup  haskell-juicypixels  haskell-lexer  haskell-libyaml  haskell-lpeg  haskell-lua  haskell-memory  haskell-mime-types  haskell-mmorph  haskell-monad-control  haskell-mono-traversable  haskell-network  haskell-network-byte-order  haskell-network-uri  haskell-old-locale  haskell-old-time  haskell-onetuple  haskell-optparse-applicative  haskell-pandoc  haskell-pandoc-lua-engine  haskell-pandoc-lua-marshal  haskell-pandoc-server  haskell-pandoc-types  haskell-pem  haskell-pretty-show  haskell-primitive  haskell-psqueues  haskell-quickcheck  haskell-random  haskell-recv  haskell-resourcet  haskell-safe  haskell-safe-exceptions  haskell-scientific  haskell-semialign  haskell-semigroupoids  haskell-servant  haskell-servant-server  haskell-sha  haskell-simple-sendfile  haskell-singleton-bool  haskell-skylighting  haskell-skylighting-core  haskell-skylighting-format-ansi  haskell-skylighting-format-blaze-html  haskell-skylighting-format-context  haskell-skylighting-format-latex  haskell-socks  haskell-some  haskell-sop-core  haskell-split  haskell-splitmix  haskell-statevar  haskell-streaming-commons  haskell-strict  haskell-string-conversions  haskell-syb  haskell-tagged  haskell-tagsoup  haskell-temporary  haskell-texmath  haskell-text-conversions  haskell-text-icu  haskell-text-short  haskell-th-abstraction  haskell-th-compat  haskell-th-lift  haskell-th-lift-instances  haskell-these  haskell-time-compat  haskell-time-manager  haskell-tls  haskell-transformers-base  haskell-transformers-compat  haskell-type-equality  haskell-typed-process  haskell-typst-symbols  haskell-unicode-collation  haskell-unicode-data  haskell-unicode-transforms  haskell-uniplate  haskell-unix-compat  haskell-unix-time  haskell-unliftio  haskell-unliftio-core  haskell-unordered-containers  haskell-utf8-string  haskell-uuid-types  haskell-vault  haskell-vector  haskell-vector-algorithms  haskell-vector-stream  haskell-wai  haskell-wai-app-static  haskell-wai-cors  haskell-wai-extra  haskell-wai-logger  haskell-warp  haskell-witherable  haskell-word8  haskell-xml  haskell-xml-conduit  haskell-xml-types  haskell-yaml  haskell-zip-archive  haskell-zlib  hslua-cli  pandoc-cli,/etc/ghc-libs.conf
ghostscript,libxt  libcups  fontconfig  zlib  libpng  libjpeg  jbig2dec  libtiff  lcms2  libpaper  ijs  openjpeg2  libidn  poppler-data  cairo  glibc  libx11  gdk-pixbuf2  glib2,gtk3,dvisvgm  libspectre,/etc/ghostscript.conf
giflib,glibc,None,imlib2  jre-openjdk  libjxl  libwebp,/etc/giflib.conf
girara,gtk3  glib2  json-glib  pango,None,zathura,/etc/girara.conf
git,curl  expat  perl  perl-error  perl-mailtools  openssl  pcre2  grep  shadow  zlib,tk,yay,/etc/git.conf
glib-networking,glib2  gnutls  gsettings-desktop-schemas  libproxy,None,libsoup  libsoup3,/etc/glib-networking.conf
